producing

root@kafk00perf10-vio-bk:/opt/kafka/bin# kafka-producer-perf-test --topic example --producer.config /opt/kafka/config/client-ssl1.properties --num-records 1000000 --throughput -1 --record-size 10000
3458 records sent, 690.8 records/sec (6.59 MB/sec), 3041.5 ms avg latency, 8000.0 ms max latency.
3471 records sent, 694.2 records/sec (6.62 MB/sec), 3000.8 ms avg latency, 7779.0 ms max latency.
3555 records sent, 711.0 records/sec (6.78 MB/sec), 2954.2 ms avg latency, 7385.0 ms max latency.
2984 records sent, 596.7 records/sec (5.69 MB/sec), 3083.0 ms avg latency, 7825.0 ms max latency.
2528 records sent, 505.4 records/sec (4.82 MB/sec), 3600.3 ms avg latency, 9409.0 ms max latency.
3803 records sent, 759.1 records/sec (7.24 MB/sec), 3720.1 ms avg latency, 9214.0 ms max latency.
3908 records sent, 781.3 records/sec (7.45 MB/sec), 2817.4 ms avg latency, 5555.0 ms max latency.
4031 records sent, 806.2 records/sec (7.69 MB/sec), 2647.5 ms avg latency, 4399.0 ms max latency.
3971 records sent, 794.0 records/sec (7.57 MB/sec), 2530.1 ms avg latency, 4330.0 ms max latency.
4062 records sent, 812.4 records/sec (7.75 MB/sec), 2399.2 ms avg latency, 5127.0 ms max latency.
4158 records sent, 831.6 records/sec (7.93 MB/sec), 2361.2 ms avg latency, 5581.0 ms max latency.
3892 records sent, 773.9 records/sec (7.38 MB/sec), 2405.2 ms avg latency, 5911.0 ms max latency.
3940 records sent, 788.0 records/sec (7.51 MB/sec), 2646.0 ms avg latency, 6344.0 ms max latency.
3858 records sent, 771.0 records/sec (7.35 MB/sec), 2627.0 ms avg latency, 6283.0 ms max latency.
4128 records sent, 825.4 records/sec (7.87 MB/sec), 2585.1 ms avg latency, 6079.0 ms max latency.
3634 records sent, 725.6 records/sec (6.92 MB/sec), 2610.2 ms avg latency, 6376.0 ms max latency.
3711 records sent, 742.1 records/sec (7.08 MB/sec), 2749.6 ms avg latency, 6733.0 ms max latency.
2456 records sent, 491.2 records/sec (4.68 MB/sec), 3075.1 ms avg latency, 7957.0 ms max latency.
1742 records sent, 348.2 records/sec (3.32 MB/sec), 5577.9 ms avg latency, 9600.0 ms max latency.
1579 records sent, 315.5 records/sec (3.01 MB/sec), 7265.2 ms avg latency, 11142.0 ms max latency.
3912 records sent, 782.1 records/sec (7.46 MB/sec), 3748.4 ms avg latency, 10075.0 ms max latency.
2068 records sent, 410.1 records/sec (3.91 MB/sec), 3378.8 ms avg latency, 6252.0 ms max latency.
1642 records sent, 328.4 records/sec (3.13 MB/sec), 5665.8 ms avg latency, 7696.0 ms max latency.
1598 records sent, 319.6 records/sec (3.05 MB/sec), 6665.1 ms avg latency, 9407.0 ms max latency.
3131 records sent, 626.2 records/sec (5.97 MB/sec), 4638.7 ms avg latency, 8713.0 ms max latency.
4059 records sent, 811.6 records/sec (7.74 MB/sec), 2506.2 ms avg latency, 4635.0 ms max latency.
3825 records sent, 765.0 records/sec (7.30 MB/sec), 2455.1 ms avg latency, 4822.0 ms max latency.
3688 records sent, 737.5 records/sec (7.03 MB/sec), 2485.5 ms avg latency, 5309.0 ms max latency.
2830 records sent, 566.0 records/sec (5.40 MB/sec), 3150.4 ms avg latency, 6548.0 ms max latency.
2743 records sent, 548.6 records/sec (5.23 MB/sec), 4223.0 ms avg latency, 7357.0 ms max latency.
3505 records sent, 693.1 records/sec (6.61 MB/sec), 3101.4 ms avg latency, 6728.0 ms max latency.
3524 records sent, 704.8 records/sec (6.72 MB/sec), 3033.3 ms avg latency, 5342.0 ms max latency.
3820 records sent, 764.0 records/sec (7.29 MB/sec), 2742.4 ms avg latency, 5045.0 ms max latency.
3571 records sent, 714.2 records/sec (6.81 MB/sec), 2610.5 ms avg latency, 5042.0 ms max latency.
3550 records sent, 709.9 records/sec (6.77 MB/sec), 2947.4 ms avg latency, 5482.0 ms max latency.
3735 records sent, 746.9 records/sec (7.12 MB/sec), 2813.9 ms avg latency, 5442.0 ms max latency.
3393 records sent, 677.7 records/sec (6.46 MB/sec), 2820.4 ms avg latency, 5306.0 ms max latency.
1735 records sent, 347.0 records/sec (3.31 MB/sec), 4948.0 ms avg latency, 8250.0 ms max latency.
1989 records sent, 397.6 records/sec (3.79 MB/sec), 4290.5 ms avg latency, 9909.0 ms max latency.
1437 records sent, 198.8 records/sec (1.90 MB/sec), 5434.7 ms avg latency, 10390.0 ms max latency.
867 records sent, 173.4 records/sec (1.65 MB/sec), 10949.5 ms avg latency, 16730.0 ms max latency.
1587 records sent, 317.2 records/sec (3.03 MB/sec), 8389.3 ms avg latency, 19151.0 ms max latency.
2096 records sent, 416.9 records/sec (3.98 MB/sec), 7527.8 ms avg latency, 18630.0 ms max latency.
1587 records sent, 316.1 records/sec (3.01 MB/sec), 4646.4 ms avg latency, 10821.0 ms max latency.
3301 records sent, 660.1 records/sec (6.29 MB/sec), 4663.9 ms avg latency, 11117.0 ms max latency.
3700 records sent, 740.0 records/sec (7.06 MB/sec), 2920.0 ms avg latency, 8282.0 ms max latency.
2955 records sent, 590.6 records/sec (5.63 MB/sec), 2827.1 ms avg latency, 6532.0 ms max latency.
3343 records sent, 668.6 records/sec (6.38 MB/sec), 3427.1 ms avg latency, 7386.0 ms max latency.
3767 records sent, 753.2 records/sec (7.18 MB/sec), 2852.1 ms avg latency, 7337.0 ms max latency.
3800 records sent, 760.0 records/sec (7.25 MB/sec), 2728.5 ms avg latency, 5864.0 ms max latency.
3335 records sent, 667.0 records/sec (6.36 MB/sec), 2982.8 ms avg latency, 6246.0 ms max latency.
2724 records sent, 544.8 records/sec (5.20 MB/sec), 3453.6 ms avg latency, 6795.0 ms max latency.
3284 records sent, 656.8 records/sec (6.26 MB/sec), 3573.5 ms avg latency, 6692.0 ms max latency.
3957 records sent, 791.2 records/sec (7.55 MB/sec), 2763.0 ms avg latency, 5980.0 ms max latency.
3952 records sent, 790.2 records/sec (7.54 MB/sec), 2448.2 ms avg latency, 5178.0 ms max latency.
4268 records sent, 853.6 records/sec (8.14 MB/sec), 2399.2 ms avg latency, 5576.0 ms max latency.
3814 records sent, 755.2 records/sec (7.20 MB/sec), 2403.1 ms avg latency, 5894.0 ms max latency.
3419 records sent, 683.8 records/sec (6.52 MB/sec), 2888.0 ms avg latency, 6776.0 ms max latency.
